Date,Non indexées,Dans l'index,Impressions
2026-06-11,,,1
2026-06-12,1,10,2
2026-06-13,430,123,11
2026-06-14,430,123,10
2026-06-15,430,123,3
2026-06-16,430,123,1
2026-06-17,430,123,9
2026-06-18,430,123,14
2026-06-19,430,123,12
2026-06-20,430,123,25
2026-06-21,430,123,24
2026-06-22,430,123,13
2026-06-23,430,123,19
2026-06-24,430,123,15
2026-06-25,430,123,19
2026-06-26,430,123,21
2026-06-27,430,123,47
2026-06-28,430,123,263
2026-06-29,430,123,264
2026-06-30,430,123,110
2026-07-01,396,279,45
2026-07-02,396,279,43
2026-07-03,396,279,82
2026-07-04,396,279,186
2026-07-05,396,279,308
2026-07-06,396,279,179
2026-07-07,396,279,174
2026-07-08,396,279,194
2026-07-09,396,279,167
2026-07-10,396,279,209
2026-07-11,366,331,320
2026-07-12,366,331,355
2026-07-13,366,331,400
2026-07-14,366,331,325
2026-07-15,366,331,348
2026-07-16,366,331,332
2026-07-17,366,331,382
2026-07-18,366,331,413
2026-07-19,366,331,441
2026-07-20,366,331,375
2026-07-21,366,331,410
2026-07-22,366,331,427
2026-07-23,366,331,373
2026-07-24,366,331,335
2026-07-25,372,337,360
2026-07-26,372,337,423
2026-07-27,372,337,458
2026-07-28,372,337,513
2026-07-29,372,337,534
2026-07-30,372,337,625
2026-07-31,372,337,606
2026-08-01,372,337,739
2026-08-02,372,337,1029
2026-08-03,372,337,961
2026-08-04,372,337,932
2026-08-05,372,337,935
2026-08-06,375,496,1094
2026-08-07,375,496,1415
2026-08-08,376,542,1627
2026-08-09,376,542,2004
2026-08-10,376,542,1894
2026-08-11,560,546,2151
2026-08-12,560,546,1974
2026-08-13,560,546,1837
2026-08-14,560,546,1515
2026-08-15,401,751,1647
2026-08-16,401,751,1929
2026-08-17,401,751,1840
