Date,Total des demandes d'exploration,Taille de téléchargement totale (octets),Temps de réponse moyen (ms)
2026-06-11,1196,4917224,198
2026-06-12,541,2464650,311
2026-06-13,154,1526720,338
2026-06-14,71,214120,369
2026-06-15,126,860551,341
2026-06-16,8,197971,1286
2026-06-17,35,475634,1291
2026-06-18,7,95706,2188
2026-06-19,11,225555,486
2026-06-20,7,51865,344
2026-06-21,80,1163644,316
2026-06-22,27,375346,369
2026-06-23,13,164007,479
2026-06-24,64,1228644,299
2026-06-25,57,1091879,241
2026-06-26,236,5920552,829
2026-06-27,161,4204123,617
2026-06-28,39,1120713,821
2026-06-29,50,960131,840
2026-06-30,65,1520527,613
2026-07-01,106,2235860,353
2026-07-02,57,1488591,677
2026-07-03,997,10567149,443
2026-07-04,206,2945741,611
2026-07-05,75,1361595,828
2026-07-06,36,999290,889
2026-07-07,17,335149,979
2026-07-08,49,963928,1059
2026-07-09,5,103216,1080
2026-07-10,11,202633,1014
2026-07-11,15,350932,715
2026-07-12,45,1022208,606
2026-07-13,47,1157142,394
2026-07-14,35,864836,322
2026-07-15,25,535353,365
2026-07-16,66,1249414,749
2026-07-17,51,1495204,557
2026-07-18,59,975602,1056
2026-07-19,56,1216178,615
2026-07-20,70,1008656,715
2026-07-21,110,3200755,738
2026-07-22,72,1341610,1134
2026-07-23,36,874386,1562
2026-07-24,28,556545,867
2026-07-25,56,1160840,848
2026-07-26,43,790632,936
2026-07-27,33,1138047,1212
2026-07-28,55,1341511,1472
2026-07-29,110,2901805,514
2026-07-30,81,1850088,711
2026-07-31,37,775182,987
2026-08-01,45,1161493,860
2026-08-02,55,1253921,491
2026-08-03,36,945968,727
2026-08-04,40,1090741,1170
2026-08-05,182,4877774,925
2026-08-06,430,13610082,2754
2026-08-07,138,4231618,2063
2026-08-08,52,1284682,832
2026-08-09,102,2593742,576
2026-08-10,301,9493417,1289
2026-08-11,86,2383219,1019
2026-08-12,40,1326848,694
2026-08-13,195,3187794,698
2026-08-14,149,3915534,665
2026-08-15,1305,36043903,1239
2026-08-18,757,15042812,226
2026-08-19,561,12708964,562
2026-08-20,486,8394144,252
2026-08-21,220,4529203,502
