Pays,Clics,Impressions,CTR,Position
France,1,1330,0.08%,11.73
Espagne,0,29,0%,11.86
Belgique,0,22,0%,9.09
Suisse,0,22,0%,12.64
Tunisie,0,18,0%,14.11
Canada,0,18,0%,18.33
Italie,0,13,0%,15.54
Inde,0,11,0%,44.36
Allemagne,0,10,0%,14
Algérie,0,8,0%,20.5
Grèce,0,7,0%,11.14
Norvège,0,6,0%,9.17
Réunion (Île de la),0,4,0%,3.25
Portugal,0,4,0%,8.5
Chine,0,4,0%,11.75
Maroc,0,4,0%,18.25
Indonésie,0,4,0%,35.75
Philippines,0,4,0%,46.75
Monaco,0,3,0%,8.33
Sénégal,0,3,0%,20.33
Brésil,0,3,0%,34
Turquie,0,3,0%,41
Martinique,0,2,0%,6
Ukraine,0,2,0%,6
États-Unis,0,2,0%,7.5
Croatie,0,2,0%,8
Irlande,0,2,0%,10
Mauritanie,0,2,0%,12
Qatar,0,2,0%,12
Éthiopie,0,2,0%,24
Égypte,0,2,0%,24.5
Cameroun,0,2,0%,43
Argentine,0,2,0%,55.5
Vietnam,0,2,0%,66.5
Congo-Brazzaville,0,1,0%,1
Japon,0,1,0%,6
Autriche,0,1,0%,7
Singapour,0,1,0%,7
Luxembourg,0,1,0%,8
Pays-Bas,0,1,0%,9
Bulgarie,0,1,0%,10
Sahara oriental,0,1,0%,10
Royaume-Uni,0,1,0%,10
Madagascar,0,1,0%,10
Suède,0,1,0%,10
Cap-Vert,0,1,0%,11
Malte,0,1,0%,11
Afrique du Sud,0,1,0%,11
Israël,0,1,0%,12
Polynésie française,0,1,0%,12
Roumanie,0,1,0%,12
Guatemala,0,1,0%,22
Mexique,0,1,0%,25
Malaisie,0,1,0%,25
Rwanda,0,1,0%,25
Uruguay,0,1,0%,25
Pérou,0,1,0%,30
Bolivie,0,1,0%,40
Nigéria,0,1,0%,49
Irak,0,1,0%,52
Bangladesh,0,1,0%,53
Hongrie,0,1,0%,60
Nouvelle-Zélande,0,1,0%,61
Cambodge,0,1,0%,62
Arabie Saoudite,0,1,0%,69
Colombie,0,1,0%,70
